category,title,published,author and source,content,excerpt,read more text,read more link
Article,"With $41M in financing secured, Newcastle Limited breaks ground on Gold Coast development","November 23, 2020",By RE Journals,"Newcastle Limited secured $41.3 million in construction financing to support development of the firm's mixed-use project at 1210 N. State Parkway in Chicago's Gold Coast neighborhood. CIBC Bank USA is the loan administrative agent, and First Midwest Bank is a co-lender. Construction will commence this month, and delivery is slated for early 2022. ","Newcastle Limited secured $41.3 million in construction financing to support development of the firm's mixed-use project at 1210 N. State Parkway in Chicago's Gold Coast neighborhood. CIBC Bank USA is the loan administrative agent, and First Midwest Bank is a co-lender. Construction will commence this month, and delivery is slated for early 2022. ",Read the full article here.,https://rejournals.com/with-41m-in-financing-secured-newcastle-limited-breaks-ground-on-gold-coast-development/
Article,"Scaled-down, 29-story apartment tower proposed for Barnes &amp; Noble site on Near North Side","October 14, 2020","By Ryan Ori, Chicago Tribune",Chicago Tribune reports on Newcastle Limited's proposed plans for the site at 1120 to 1130 N. State Street.,Chicago Tribune reports on Newcastle Limited's proposed plans for the site at 1120 to 1130 N. State Street.,Read the full article here.,https://www.chicagotribune.com/columns/ryan-ori/ct-biz-barnes-and-noble-redevelopment-proposal-ryan-ori-20201014-rbn76jheinhuphxsv36mvjrwse-story.html
Article,Developer shrinks Gold Coast high-rise proposal,"October 13, 2020","By Alby Gallun, Crain's Chicago Chicago Business",Crain's Chicago Business reports on Newcastle's revised development plans to be presented on October 22nd at a virtual community meeting.,Crain's Chicago Business reports on Newcastle's revised development plans to be presented on October 22nd at a virtual community meeting.,Read the full article here.,https://www.chicagobusiness.com/commercial-real-estate/developer-shrinks-gold-coast-high-rise-proposal?_ptid=%7Bjcx%7DH4sIAAAAAAAAAI2QUW-CMBSF_0ufxbS0QMubMepAhptxTH2rpUA3rAhFTZb994GbW5bsYUnTpPc7597b8wa4SoEP3KCM9XwzIy0YgIrnMlHyHPTEhja0UHfc_obQwthyKbWeoipYFm2gC-nZehxYmLo7gRjBmHGSCpFlO-GkkGQcOo6dsq6xvFSyVlILeW09WbubKGShFyynv-jkIkVr1EFfZYhCekQQ2f14CG3DClPCY5WZlwyRJkeZ09Jf_pH4NjfF4byS-6rkRkbb1cPSofebxTxGqHMUvLkx4Ju6lQNgvt5X82KVYHTHAu8xXoIflvBacW1uku2Ihs4sXof9JwTfV1zlugG-bstyAE6qUZ_Sk_VnloxYr9Ei3Gbm2SnHCW2C6X-yVFUfDfSGNqJDSoYEdsW2kfUol9p0LD2LfmdTAh-50GbEpRi_fwDNJm-x8QEAAA&CSAuthResp=1%3A%3A290168%3A359%3A24%3Asuccess%3A91659AE14D13C75DE7CDCD589A79BBB3
Article,Steve Merchant joins Newcastle Limited as Managing Director,"July 28, 2020",By RE Journals,"Newcastle Limited expanded its senior leadership team with the addition of Steve Merchant as managing director of multifamily operations. Merchant will oversee the operation of Newcastle's 3,000-unit multifamily portfolio and the team of 100 employees responsible for management and leasing.","Newcastle Limited expanded its senior leadership team with the addition of Steve Merchant as managing director of multifamily operations. Merchant will oversee the operation of Newcastle's 3,000-unit multifamily portfolio and the team of 100 employees responsible for management and leasing.",Read the full article here.,https://rejournals.com/steve-merchant-joins-newcastle-limited-as-managing-director-of-multifamily-operations/
Article,MJ Zaring joins Newcastle Limited as Vice President of Asset Management,"April 14, 2020",By RE Journals,"MJ Zaring has joined Chicago-based Newcastle Limited as vice president of asset management. In her new position, Zaring will be part of Newcastle's portfolio management team, where she will focus on strategic planning for the firm's assets.","MJ Zaring has joined Chicago-based Newcastle Limited as vice president of asset management. In her new position, Zaring will be part of Newcastle's portfolio management team, where she will focus on strategic planning for the firm's assets.",Read the full article here.,https://rejournals.com/mj-zaring-joins-newcastle-limited-as-vice-president-of-asset-management/
Article,"Laura Giampietro joins Newcastle Limited as SVP, marketing","January 15, 2020",By RE Journals,"Newcastle Limited announced the expansion of its team with the addition of Laura Giampietro as senior vice president of marketing. In her new position, Giampietro will be responsible for leading the Chicago-based firm’s marketing and communications initiatives. ","Newcastle Limited announced the expansion of its team with the addition of Laura Giampietro as senior vice president of marketing. In her new position, Giampietro will be responsible for leading the Chicago-based firm’s marketing and communications initiatives. ",Read the full article here.,"https://www.rejournals.com/laura-giampietro-joins-newcastle-limited-as-svp,-marketing-20200115.aspx"
Article,New Design for Gold Coast Apartments Guided by Fresh Approach from City Planners,"November 4, 2019","By Jay Koziarz, Curbed Chicago",Curbed Chicago details the latest updates to Newcastle's development plans for 1212 N. State in the Gold Coast.,Curbed Chicago details the latest updates to Newcastle's development plans for 1212 N. State in the Gold Coast.,Read the full article here.,https://chicago.curbed.com/2019/11/4/20944295/gold-coast-apartment-development-state-division-design-change
Article,Newcastle Buys West Loop Apartments,"October 31, 2019","By Minho Kim, Crain's Chicago Business",Read about Newcastle's latest acquisition of 1241-1245 W Jackson Blvd. in the West Loop in Crain's Chicago Business.,Read about Newcastle's latest acquisition of 1241-1245 W Jackson Blvd. in the West Loop in Crain's Chicago Business.,Click here.,https://www.chicagobusiness.com/residential-real-estate/newcastle-buys-west-loop-apartments
Article,People on the Move,"May 2, 2019",By Crain's Chicago Business,"Dan Thalheimer has joined Newcastle Limited as Vice President of  Acquisitions. In his new role, Dan will focus on sourcing multifamily  and retail acquisition opportunities as Newcastle continues to grow its  Chicago investment portfolio.","Dan Thalheimer has joined Newcastle Limited as Vice President of  Acquisitions. In his new role, Dan will focus on sourcing multifamily  and retail acquisition opportunities as Newcastle continues to grow its  Chicago investment portfolio.",Read the full article here.,https://www.chicagobusiness.com/people-on-the-move/dan-thalheimer
Article,Dan Thalheimer joins Newcastle Limited as VP of acquisitions,"April 23, 2019",By RE Journals,"Newcastle Limited expanded its team with the addition of Dan Thalheimer as vice president  of acquisitions. In his new position, Thalheimer will be responsible for sourcing new opportunities and helping to grow Newcastle’s retail and  multifamily investment portfolio.","Newcastle Limited expanded its team with the addition of Dan Thalheimer as vice president  of acquisitions. In his new position, Thalheimer will be responsible for sourcing new opportunities and helping to grow Newcastle’s retail and  multifamily investment portfolio.",Read the full article here.,https://www.newcastlelimited.com/
