Category,Multifamily Display Name,Address,City,State,Zip Code,Retail Description,Multifamily Description,Availability,Available Retail Space,Area Retail Tenants,Retail Contacts,Brochure,Neighborhood,Investment Page Website Links
Both,5425 N. Clark,5425 N. Clark Street,Chicago,IL,60640,"Corner restaurant with lower level in vibrant Andersonville neighborhood with outdoor seating and operable windows. Surrounded by an exceptional mix of local, regional, and national dining and shopping retailers.","5425 N. Clark is a 10-unit apartment building with 2,557 SF of retail space in Andersonville.",No,Fully leased,"Francesca's Collection, La Colombe, Scout, Kriser's Natural Pet, Raygun, Bongo Room, Akira, Koval Distillery","Kristen Martin, Newcastle Limited, (312) 252-1418, kmartin@newcastlelimited.com",No,Andersonville,http://www.5425nclark.com/
Both,1012 W. Randolph,1012 W. Randolph Street,Chicago,IL,60607,"Newly renovated restaurant space in prominent Fulton Market location, with fully built-out lower level. Across the street from McDonald's world headquarters and Vendor Village.","1012 W. Randolph is a 3-unit apartment building with 1,435 SF of retail space in the West Loop.",Yes,"1,435 SF with ~700 SF built-out lower level","Billy Reid, Anthropologie, Free People, Blue Mercury, lulu lemon, Soho House, Google Headquarters, McDonald's Headquarters","Kristen Martin, Newcastle Limited, (312) 252-1418, kmartin@newcastlelimited.com",No,Fulton Market,https://www.1012wrandolph.com/#page1
Both,119 N. Peoria,119 N. Peoria Street,Chicago,IL,60607,"Restaurant space at the base of mixed-use, 3-story brick and timber building in Fulton Market. Space shares activated cobblestone alley which runs through the development.","119 N. Peoria is a 12-unit apartment building with 8,727 SF of retail space in the West Loop.",No,Fully leased,"Billy Reid, Anthropologie, Free People, Blue Mercury, lulu lemon, Soho House, Google Headquarters, McDonald's Headquarters","Kristen Martin, Newcastle Limited, (312) 252-1418, kmartin@newcastlelimited.com",No,Fulton Market,https://www.resideliving.com/residewestloop/reside/ourproperties.aspx
Both,24 S. Morgan,24 S. Morgan Street,Chicago,IL,60607,"Fulton Market retail space at street level of a 12-story apartment building near hotels, high-end retailers, and new luxury residences. Surrounded by an exceptional mix of local, regional, and national dining and shopping retailers.","24 S. Morgan is a 73-unit apartment building with 3,347 SF of retail space in the West Loop.",No,Fully leased,"Billy Reid, Anthropologie, Free People, Blue Mercury, lulu lemon, Soho House, Google Headquarters, McDonald's Headquarters","Kristen Martin, Newcastle Limited, (312) 252-1418, kmartin@newcastlelimited.com",No,Fulton Market,https://www.24smorgan.com/
Both,945 W. Fulton Market,945 W. Fulton Market,Chicago,IL,60607,"Premier mixed-use property in highly desirable Fulton Market, at the corner of Fulton Market and Morgan Street, across from Google's Chicago HQ.","945 W. Fulton Market is a 10-unit apartment building with 11,541 SF of retail space in Fulton Market.",No,Fully leased,"Billy Reid, Anthropologie, Aesop Free People, Au Cheval,Soho House, We Work, Publican, Ace Hotel","Kristen Martin, Newcastle Limited, (312) 252-1418, kmartin@newcastlelimited.com",no,Fulton Market,https://www.resideliving.com/945-w-fulton-market-apartments/
Both,Reside on Clark,2200 N. Clark Street,Chicago,IL,60614,"Small-shop retail spaces, across from Frances W. Parker school in Lincoln Park. Walking distance to Lincoln Park Zoo and the lakefront.","Reside on Clark is a 28-unit apartment building with 10,400 SF of retail space in Lincoln Park.",No,Fully leased,"Dunkin Donuts, My Eye Dr., Firecakes Donuts, Esme's, Urban Outfitters, 7-Eleven","Kristen Martin, Newcastle Limited, (312) 252-1418, kmartin@newcastlelimited.com",yes,Lincoln Park,https://www.resideonclark.com/
Both,Park Lincoln by Reside,2470 N. Clark Street,Chicago,IL,60614,Small-shop retail space located at the base of a high-rise apartment building in Lincoln Park. Close to intersection of Fullerton Avenue and Clark Street. Steps from Lincoln Park Zoo and the Lakefront Trail.,"Park Lincoln by Reside is a 139-unit apartment building with 3,860 SF of retail space in Lincoln Park.",No,Fully leased,"Banana Republic Factory, Amazon, Target, For Eyes, Urban Outfitters, Fire Cakes Donuts, Five Guys Burgers & Fries, Starbucks","Kristen Martin, Newcastle Limited, (312) 252-1418, kmartin@newcastlelimited.com",No,Lincoln Park,https://www.parklincolnbyreside.com/
Both,Reside at 2525,2525 N. Clark Street,Chicago,IL,60614,High-visibility retail space located at the corner of Deming Place and Clark Street in Lincoln Park. Sidewalk seating available. Walking distance to Lincoln Park Zoo and the Lakefront Trail.,"Reside at 2525 is a 12-unit apartment building with 4,300 SF of retail space in Lincoln Park.",Yes,"1,000 SF","Urban Outfitters, Five Guys Burgers & Fries, Best Buy, See Eyewear, Flyod's 99 Barbershop, New Balance, Citibank","Kristen Martin, Newcastle Limited, (312) 252-1418, kmartin@newcastlelimited.com",no,Lincoln Park,https://www.resideliving.com/reside-at-2525/index.aspx
Both,846 W. Armitage,846 W. Armitage Avenue,Chicago,IL,60614,"Boutique retail space on highly-desirable Armitage Avenue in Lincoln Park. Surrounded by cutting edge, digitally native brands.","846 W. Armitage is a 4-unit apartment building with 1,745 SF of retail space in Lincoln Park.",No,Fully leased,"Indochino, Outdoor Voices, Allbirds, Parachute, Francesca's Collection, Warby Parker, Marine Layer","Kristen Martin, Newcastle Limited, (312) 252-1418, kmartin@newcastlelimited.com",yes,Lincoln Park,https://www.resideliving.com/846-w-armitage-apartments/index.aspx
Both,2000 N. Milwaukee,2000 N. Milwaukee Avenue,Chicago,IL,60647,Highly-visible Logan Square retail space at the busy intersection of Milwaukee and Armitage Avenues. Move-in ready condition.,"2000 N. Milwaukee is a 15-unit apartment building with 3,035 SF of retail space in Logan Square.",Yes,"1,355 - 3,147 SF","Margie's Candies, Ipsento, Irazu, Small Cheval, Bang Bang Pie & Biscuits, Colectivo, & Table, Donkey and Stick","Reuben Rischall, Metro Commercial, (847) 412-9898 *5003, rrischall@metrocre.com|
Jonathan Hyman, Metro Commercial, (847) 412-9898 *5015, jhyman@metrocre.com|
Hanna Perl, Metro Commercial, (847) 412-9898 *5009, hperl@metrocre.com|
Kristen Martin, Newcastle Limited, (312) 252-1418, kmartin@newcastlelimited.com",Yes,Logan Square,http://www.2000nmilwaukee.com/
